word1,word2,SimLex999,Std Deviation,POS
oud,nieuw,1.94,2.42,A
slim,intelligent,8.19,1.54,A
hard,moeilijk,4.46,3.18,A
gelukkig,vrolijk,6.49,2.15,A
hard,stoer,5.69,2.94,A
snel,razendsnel,7.18,1.74,A
gelukkig,blij,7.09,2.21,A
kort,lang,1.78,2.52,A
dom,stom,4.67,3.22,A
vreemd,eigenaardig,7.41,2.9,A
breed,smal,1.79,2.28,A
makkelijk,moeilijk,2.17,3.03,A
moeilijk,gemakkelijk,1.92,2.58,A
slim,dom,2.72,3.12,A
krankzinnig,gek,8.02,2.06,A
gelukkig,kwaad,2.95,3.2,A
uitgebreid,groot,5.58,2.59,A
moeilijk,simpel,2.24,2.07,A
nieuw,vers,6.69,2.06,A
scherp,saai,0.95,1.47,A
vlug,snel,8.95,1.27,A
dom,dwaas,6.57,2.58,A
prachtig,fantastisch,6.3,2.14,A
eigenaardig,vreemd,8.56,1.3,A
gelukkig,boos,0.98,1.77,A
smal,breed,3.59,3.19,A
eenvoudig,gemakkelijk,9.04,0.9,A
oud,vers,1.69,2.67,A
kennelijk,duidelijk,4.04,2.94,A
betaalbaar,goedkoop,6.43,2.17,A
leuk,grootmoedig,2.06,1.9,A
raar,vreemd,8.4,1.67,A
vreemd,normaal,1.81,1.77,A
slecht,immoreel,6.44,2.11,A
verdrietig,grappig,1.68,2.28,A
prachtig,geweldig,6.85,2.19,A
schuldig,beschaamd,3.54,2.6,A
mooi,prachtig,7.24,2.25,A
zelfverzekerd,zeker,7.49,2.07,A
dom,onderontwikkeld,4.56,2.96,A
groot,flexibel,1.63,1.62,A
aardig,wreed,1.28,1.53,A
ongeduldig,nerveus,4.22,2.62,A
groot,breed,4.4,2.85,A
sterk,trots,4.09,2.31,A
onnodig,noodzakelijk,1.71,2.96,A
onrustig,jong,1.37,1.87,A
dom,intelligent,2.62,2.78,A
slecht,geweldig,1.75,2.79,A
moeilijk,eenvoudig,2.25,3.16,A
noodzakelijk,belangrijk,8.22,1.71,A
slecht,verschrikkelijk,6.93,2.18,A
boos,blij,2.16,2.85,A
eerlijk,schuldig,1.18,1.96,A
makkelijk,zwaar,2.17,2.35,A
makkelijk,flexibel,5.85,2.88,A
stellig,zeker,5.41,3.64,A
essentieel,noodzakelijk,8.55,1.51,A
anders,normaal,1.16,0.95,A
sluw,slim,4.08,3.01,A
cruciaal,belangrijk,8.59,1.08,A
hard,wreed,7.02,2.2,A
kinderachtig,dwaas,3.41,1.7,A
zelden,zeldzaam,6.09,2.59,A
vriendelijk,vrijgevig,4.57,2.83,A
breekbaar,kil,1.35,1.87,A
lang,smal,3.08,2.62,A
groot,zwaar,5.2,3.14,A
ruw,koel,1.39,1.07,A
bizar,vreemd,8.11,2.07,A
illegaal,immoreel,3.39,2.14,A
slecht,schuldig,3.77,2.66,A
modern,oud,1.15,1.82,A
nieuw,oud,2.18,3.29,A
saai,grappig,1.91,2.28,A
gelukkig,jong,1.78,2.32,A
makkelijk,groot,0.96,0.96,A
geweldig,vreselijk,2.0,2.93,A
klein,enorm,1.82,2.9,A
beleefd,gepast,6.28,2.62,A
bescheiden,beschaamd,3.87,2.94,A
exotisch,zeldzaam,5.1,3.02,A
dom,slim,2.95,2.97,A
heerlijk,prachtig,4.76,2.36,A
opvallend,duidelijk,6.18,2.54,A
angstig,bang,9.06,1.01,A
formeel,juist,2.5,2.28,A
somber,saai,3.94,3.41,A
heerlijk,vrolijk,3.03,1.78,A
ongelukkig,kwaad,3.1,2.26,A
verdrietig,vreselijk,5.15,3.22,A
ziek,gek,2.3,2.03,A
gewelddadig,boos,3.48,2.16,A
beladen,zwaar,7.33,2.8,A
vuil,goedkoop,1.44,1.71,A
elastisch,flexibel,7.32,2.08,A
hard,dicht,1.33,1.44,A
onlangs,nieuw,3.45,2.47,A
brutaal,trots,1.67,2.03,A
sluw,vreemd,2.99,2.7,A
vreemd,sluw,2.32,2.28,A
dom,zeldzaam,1.2,1.94,A
sluw,koppig,1.54,1.64,A
fantastisch,kwaad,0.95,0.85,A
bescheiden,flexibel,1.42,2.1,A
vers,breed,1.29,1.79,A
enorm,sprakeloos,0.99,1.29,A
groot,enorm,7.53,2.14,A
vuil,smal,1.68,2.33,A
echtgenote,echtgenoot,7.6,2.91,N
boek,tekst,5.78,2.74,N
bruidegom,bruid,5.95,3.94,N
nacht,dag,4.55,3.66,N
zuid,noord,2.93,3.08,N
vliegtuig,luchthaven,5.12,3.27,N
oom,tante,4.11,3.4,N
paard,merrie,7.07,1.46,N
onderkant,bovenkant,3.5,2.98,N
vriend,maat,7.25,2.71,N
student,leerling,7.77,2.15,N
wereld,wereldbol,4.46,3.17,N
been,arm,2.75,2.98,N
vliegtuig,straalvliegtuig,7.33,1.11,N
vrouw,man,5.08,4.13,N
paard,veulen,5.75,2.45,N
actrice,acteur,8.33,2.22,N
leraar,instructeur,7.67,1.85,N
film,filmrol,3.92,3.04,N
vogel,havik,4.52,2.78,N
woord,woordenboek,2.48,2.58,N
geld,salaris,6.29,2.62,N
hond,kat,3.26,3.2,N
gebied,regio,8.46,1.51,N
marine,leger,6.68,2.24,N
boek,literatuur,6.74,2.48,N
kleding,kast,3.2,2.97,N
zonsondergang,zonsopgang,3.67,3.32,N
kind,volwassen,3.1,3.1,N
koe,vee,6.72,1.9,N
boek,verhaal,5.15,2.75,N
winter,zomer,4.16,3.34,N
taxi,taxis,8.17,2.5,N
boom,esdoorn,4.05,3.21,N
bed,slaapkamer,2.52,2.27,N
dak,plafond,6.25,2.46,N
ziekte,infectie,6.07,2.15,N
arm,schouder,4.76,2.86,N
schaap,lam,4.94,2.9,N
dame,meneer,2.55,3.05,N
boot,anker,1.98,2.31,N
priester,monnik,3.98,2.56,N
teen,vinger,3.25,2.8,N
rivier,stroom,5.33,2.91,N
boosheid,woede,8.87,0.59,N
datum,kalender,4.26,3.3,N
zee,oceaan,7.11,3.15,N
seconde,minuut,3.83,3.3,N
hand,duim,2.81,2.69,N
hout,stam,2.84,2.28,N
modder,vuil,5.25,2.82,N
hal,gang,7.99,1.81,N
weg,manier,3.87,3.03,N
muis,kat,2.35,2.87,N
politieagent,sheriff,4.8,2.89,N
dood,begrafenis,3.67,3.5,N
muziek,melodie,5.26,2.98,N
bier,alcohol,5.08,3.28,N
mond,lip,5.79,2.14,N
storm,orkaan,7.09,1.99,N
belasting,inkomen,2.93,3.19,N
bloem,viooltjes,6.12,2.62,N
papier,karton,4.51,2.28,N
vloer,plafond,1.93,2.21,N
strand,kust,7.2,1.88,N
staaf,gordijn,2.11,2.7,N
jachthond,vos,2.99,2.66,N
straat,auto,0.89,0.72,N
boot,dek,3.27,2.9,N
auto,toeter,1.83,2.23,N
vriend,gast,2.89,2.42,N
werkgever,werknemer,2.86,2.93,N
hand,pols,2.55,2.63,N
bal,kostuum,2.64,2.69,N
alcohol,brandewijn,3.75,2.73,N
overwinning,zege,7.93,1.99,N
telefoon,cel,2.21,3.15,N
deur,ingang,6.43,2.25,N
motel,herberg,6.85,2.59,N
kleding,stof,4.88,2.81,N
steak,vlees,6.13,2.85,N
nagel,duim,4.46,3.03,N
muziekgroep,orkest,8.04,1.47,N
boek,bijbel,4.72,2.89,N
bedrijf,industrie,4.18,2.95,N
winter,seizoen,5.08,3.68,N
decennium,eeuw,2.55,2.32,N
alcohol,jenever,4.57,3.27,N
hoed,jas,1.54,2.05,N
raam,deur,3.31,3.04,N
arm,pols,3.64,2.52,N
huis,appartement,6.3,2.16,N
glas,kristal,6.08,2.38,N
wijn,brandewijn,3.29,2.78,N
maker,producent,7.82,1.85,N
diner,ontbijt,2.5,2.32,N
arm,spier,2.86,2.6,N
bubbel,schuim,4.14,2.4,N
brood,meel,4.62,3.48,N
dood,tragedie,5.43,3.04,N
afwezigheid,aanwezigheid,2.54,2.95,N
pistool,kanon,4.19,2.43,N
gras,stro,3.93,1.95,N
bal,mand,1.81,2.4,N
slang,tuin,1.54,2.29,N
jongen,kind,3.78,2.45,N
kerk,koor,1.89,2.2,N
kleding,lade,1.82,2.07,N
toren,bel,1.96,1.79,N
vader,ouder,6.89,2.53,N
school,cijfer,3.76,3.12,N
ouder,volwassene,5.33,2.62,N
balk,gevangenis,1.42,1.86,N
auto,snelweg,3.12,3.46,N
woordenboek,definitie,2.42,2.41,N
deur,kelder,1.29,1.47,N
leger,legioen,6.66,2.91,N
metaal,aluminium,4.56,2.8,N
stoel,bank,2.67,2.16,N
wolk,mist,6.5,2.14,N
jongen,zoon,6.1,3.4,N
water,ijs,3.37,3.11,N
bed,deken,3.27,3.15,N
officier van justitie,advocaat,3.25,3.19,N
gebied,zone,8.42,0.81,N
bedrijf,onderneming,8.72,1.19,N
kleding,textiel,4.69,3.57,N
trui,jas,4.26,2.57,N
geld,vermogen,6.36,2.63,N
hand,voet,3.12,2.67,N
alcohol,cocktail,5.68,2.55,N
decimeter,centimeter,3.23,3.16,N
molecuul,atoom,4.95,3.02,N
lens,camera,3.1,2.45,N
maaltijd,diner,6.75,1.73,N
oog,traan,4.61,3.4,N
god,duivel,2.14,2.62,N
lus,riem,2.38,2.21,N
rat,muis,4.75,3.03,N
motor,aandrijving,5.24,2.55,N
auto,taxi,5.4,2.25,N
kat,leeuw,3.33,2.87,N
maat,omvang,5.5,2.8,N
werkelijkheid,verbeelding,1.55,2.62,N
deur,poort,5.54,3.33,N
kat,huisdier,4.13,2.98,N
blik,aluminium,5.78,2.83,N
botten,kaak,4.9,2.8,N
graan,tarwe,6.81,2.06,N
huis,sleutel,3.55,3.01,N
bloed,vlees,3.8,3.43,N
deur,gang,1.98,2.05,N
god,geest,2.83,2.79,N
vermogen,competentie,6.64,2.81,N
uitbundigheid,overvloed,4.44,3.06,N
bank,stoel,5.38,2.96,N
muur,baksteen,3.38,2.67,N
hoorn,trommel,1.4,1.99,N
orgaan,lever,3.86,3.21,N
kracht,macht,2.93,2.26,N
zin,woord,2.91,2.77,N
muziekgroep,parade,3.9,2.63,N
buik,taille,4.97,2.71,N
wolk,storm,3.83,2.74,N
vreugde,trots,3.28,2.71,N
lawaai,gerammel,4.65,2.11,N
regen,mist,3.93,2.71,N
bier,drank,5.67,3.24,N
man,oom,3.62,2.29,N
appel,sap,3.06,2.23,N
intelligentie,logica,4.36,2.72,N
communicatie,taal,6.35,2.56,N
nerts,bont,3.36,3.16,N
bende,menigte,5.1,2.71,N
oever,kust,5.08,2.2,N
pijpleiding,kabel,1.55,1.91,N
vogel,kalkoen,4.18,2.37,N
bed,wieg,6.7,2.3,N
competentie,vermogen,7.73,2.33,N
wolk,nevel,5.85,2.35,N
avondeten,maaltijd,6.14,3.28,N
balk,kooi,0.72,1.54,N
water,zout,0.87,0.64,N
gevoel,intuïtie,8.02,1.87,N
situatie,omstandigheid,7.76,2.07,N
misdaad,diefstal,7.38,1.61,N
stijl,mode,6.08,2.36,N
rand,grens,7.15,1.97,N
arm,lichaam,3.36,2.55,N
boot,auto,1.7,1.65,N
broodje,lunch,3.62,2.37,N
bruid,prinses,2.25,2.09,N
heldin,held,8.55,1.42,N
auto,meter,1.25,2.01,N
insect,bij,3.37,2.59,N
kinderbed,wieg,6.15,2.64,N
dier,persoon,3.52,2.92,N
marihuana,kruid,4.18,2.99,N
bed,ziekenhuis,3.24,3.19,N
wang,tong,3.22,2.49,N
cd,computer,2.05,1.64,N
bocht,hoek,5.2,2.92,N
gras,mos,3.94,2.34,N
school,wet,2.17,2.92,N
voet,hoofd,1.39,0.82,N
moeder,beschermer,3.08,2.92,N
orthodontist,tandarts,6.23,2.62,N
alcohol,whisky,3.48,2.88,N
mond,tand,3.47,3.47,N
ontbijt,spek,2.14,2.27,N
badkamer,slaapkamer,2.03,1.75,N
bord,kom,3.87,2.78,N
vlees,brood,1.41,2.08,N
lucht,helium,3.18,2.68,N
arbeider,werkgever,2.81,2.58,N
lichaam,borst,1.63,1.05,N
zoon,vader,2.71,3.28,N
hart,operatie,1.8,2.71,N
vrouw,secretaresse,1.84,1.64,N
man,vader,4.31,2.41,N
strand,eiland,2.72,2.65,N
verhaal,onderwerp,3.47,2.1,N
spel,plezier,3.7,2.92,N
weekend,week,4.25,3.19,N
koppel,paar,8.56,1.5,N
vrouw,echtgenote,6.59,2.44,N
schaap,vee,3.82,3.03,N
portemonnee,tas,3.52,2.89,N
dak,kathedraal,2.0,2.42,N
boon,koffie,5.62,3.09,N
hout,papier,3.55,2.92,N
bovenkant,zijkant,2.75,2.84,N
misdaad,fraude,5.45,2.53,N
pijn,schade,4.4,1.77,N
minnaar,partner,4.82,2.72,N
avond,schemering,5.64,2.64,N
vader,dochter,3.11,3.47,N
wijn,likeur,3.0,2.31,N
koe,geit,1.56,2.48,N
geloof,mening,5.05,3.0,N
werkelijkheid,illusie,2.98,2.77,N
overeenkomst,voorwaarde,4.39,3.13,N
rijkdom,armoede,2.56,2.91,N
ongeval,noodgeval,5.8,2.78,N
strijd,verovering,5.56,2.4,N
vriend,leraar,1.51,2.17,N
ziekte,besmetting,6.18,2.52,N
spel,truc,3.52,2.75,N
broer,zoon,2.89,2.28,N
tante,neef,2.33,2.52,N
arbeider,monteur,4.25,3.1,N
dokter,orthodontist,2.54,2.51,N
eikenboom,esdoorn,4.8,2.78,N
bij,koningin,2.95,2.9,N
auto,fiets,3.02,2.43,N
doelwit,zoektocht,1.91,1.87,N
augustus,maand,3.9,2.7,N
leger,ploeg,2.8,2.43,N
wolk,weer,1.94,1.95,N
arts,dokter,9.28,0.88,N
ravijn,vallei,6.08,2.31,N
rivier,vallei,2.58,2.65,N
zon,lucht,3.28,3.23,N
doel,pijl,4.02,3.08,N
chocolade,taart,2.32,2.13,N
omstandigheid,situatie,7.51,2.06,N
mening,keuze,3.29,2.34,N
ritme,melodie,5.65,2.92,N
darm,zenuw,1.18,1.83,N
dag,dageraad,4.09,3.36,N
vee,rundvlees,3.59,3.12,N
dokter,professor,4.68,2.6,N
arm,ader,2.05,2.38,N
kamer,bad,1.31,1.54,N
onderneming,bedrijf,7.95,2.16,N
plezier,voetbal,1.86,2.7,N
heuvel,cliff,3.55,2.89,N
botten,enkel,1.93,2.03,N
appel,snoep,1.69,2.08,N
helper,huishulp,5.37,2.75,N
leider,manager,7.14,2.48,N
citroen,thee,1.7,2.0,N
bij,mier,1.93,2.46,N
basketbal,honkbal,2.53,2.6,N
rijst,boon,2.13,2.02,N
bed,meubels,3.31,2.53,N
emotie,passie,5.09,2.49,N
anarchie,chaos,3.65,2.87,N
misdaad,overtreding,6.31,2.54,N
machine,aandrijving,3.02,2.51,N
strand,zee,4.62,3.39,N
steeg,kom,0.82,1.21,N
pot,fles,2.25,2.05,N
kracht,vermogen,6.92,1.87,N
zaad,mosterd,1.88,1.93,N
gitaar,drumstel,2.45,2.46,N
mening,idee,5.32,2.65,N
noord,west,1.83,2.39,N
dieet,salade,3.82,3.49,N
moeder,vrouw,5.3,3.0,N
vader,moeder,5.4,3.2,N
kapitein,matroos,4.25,3.18,N
meter,decimeter,3.28,2.48,N
bier,champagne,1.99,2.28,N
motor,boot,3.55,2.32,N
kaart,brug,2.32,2.95,N
wetenschap,psychologie,3.16,2.84,N
zondaar,heilige,1.57,1.92,N
vernietiging,constructie,1.9,2.01,N
menigte,massa,8.29,1.43,N
strand,rif,2.08,2.47,N
man,kind,1.85,2.23,N
brood,kaas,2.62,3.18,N
kampioen,winnaar,8.16,1.3,N
feest,ceremonie,5.23,2.51,N
menu,bestelling,3.02,2.44,N
koning,prinses,2.26,2.9,N
rijkdom,aanzien,3.08,2.13,N
uithoudingsvermogen,kracht,5.13,3.18,N
gevaar,bedreiging,7.87,1.17,N
god,priester,2.51,2.79,N
mannen,broederschap,2.74,2.26,N
vriend,partner,5.84,1.97,N
leraar,helper,4.27,2.94,N
lichaam,buik,2.03,1.73,N
tong,keel,1.82,2.44,N
huis,tapijt,1.74,2.14,N
intelligentie,vaardigheid,2.87,2.05,N
reis,verovering,1.29,1.24,N
god,prooi,0.72,1.15,N
broer,ziel,2.34,2.8,N
tegenstander,rivaal,7.56,2.02,N
dood,ramp,3.2,2.12,N
monster,demon,7.05,2.05,N
dag,ochtend,3.5,2.71,N
man,winnaar,1.61,1.96,N
vriend,jongen,3.37,1.96,N
lied,verhaal,3.49,3.04,N
straal,zonneschijn,4.99,3.06,N
kerel,hengst,2.43,2.92,N
kip,rijst,1.93,2.43,N
doos,lift,0.79,0.73,N
boter,aardappel,1.04,1.11,N
appartement,meubels,2.82,2.35,N
meer,moeras,1.91,2.02,N
sla,azijn,2.56,2.46,N
bloem,bol,3.34,2.54,N
wolk,waas,4.77,2.36,N
chauffeur,piloot,5.59,2.72,N
suiker,honing,3.32,2.22,N
lichaam,schouder,2.59,2.21,N
idee,beeld,5.46,3.14,N
vader,broer,1.97,2.74,N
maan,planeet,4.28,3.37,N
bal,handschoen,1.84,2.26,N
rails,hek,4.07,2.51,N
kamer,bed,1.89,2.1,N
bloem,struik,3.78,2.06,N
botten,knie,3.19,2.62,N
arm,knie,1.63,1.84,N
onderkant,zijkant,2.15,2.23,N
vat,ader,4.59,3.68,N
kat,konijn,2.85,2.15,N
vlees,spek,4.94,2.64,N
geloof,begrip,5.42,2.79,N
intelligentie,inzicht,4.66,2.95,N
aandacht,interesse,8.13,1.32,N
houding,zelfvertrouwen,3.49,3.39,N
recht,rechtvaardigheid,5.13,2.77,N
argument,overeenkomst,1.5,0.98,N
diepte,omvang,1.35,1.81,N
medium,nieuws,4.03,2.99,N
winnaar,kandidaat,1.68,1.9,N
verjaardag,datum,3.95,2.66,N
vergoeding,betaling,6.67,2.56,N
bijbel,psalm,2.04,2.18,N
uitgang,deuropening,4.64,2.65,N
man,schildwacht,1.48,1.46,N
gangpad,hal,6.03,3.07,N
whisky,jenever,4.06,2.87,N
bloed,merg,2.43,2.41,N
olie,nerts,1.81,1.45,N
vloer,dek,3.77,3.33,N
dak,vloer,1.15,0.79,N
deur,vloer,1.55,2.03,N
schouder,hoofd,2.95,3.17,N
wagen,rijtuig,7.05,2.54,N
auto,rijtuig,6.3,2.79,N
elleboog,enkel,2.74,2.39,N
rijkdom,bekendheid,2.46,2.79,N
verdriet,schaamte,1.87,2.4,N
administratie,management,3.28,2.83,N
communicatie,gesprek,6.98,1.7,N
vervuiling,atmosfeer,4.08,3.5,N
anatomie,biologie,5.93,2.87,N
hogeschool,beroep,3.3,2.91,N
boek,onderwerp,2.22,2.53,N
formule,vergelijking,5.63,2.95,N
boek,informatie,4.88,2.66,N
jongen,partner,2.57,3.16,N
hemel,universum,5.49,2.97,N
bevolking,mensen,6.8,1.78,N
hogeschool,klas,3.07,2.42,N
leider,burgemeester,4.16,3.34,N
rabbijn,geestelijke,4.98,2.89,N
meter,centimeter,5.05,3.74,N
polyester,katoen,2.23,2.46,N
