word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
boy,soldier,3.25,6.25,6.5,3.56,3.5,3.2,3.25,3.5,2.5,6.25,3.5,3.6,6.25,3.5,3.25
belly,abdomen,8.0,7.5,8.0,9.0,8.0,8.5,9.0,9.5,8.0,8.0,8.5,9.0,8.0,8.0,9.5
guy,girl,6.5,7.5,2.5,6.5,7.5,7.5,8.0,6.5,7.5,8.5,6.5,7.5,8.8,8.2,7.5
bed,chair,2.5,0.21,1.5,2.5,2.0,1.7,3.0,2.5,2.0,1.25,2.5,0.15,2.0,2.5,2.5
clothes,jacket,6.25,6.5,6.5,5.5,6.5,6.0,6.5,6.25,7.0,6.5,6.2,7.0,6.5,6.0,6.5
gun,knife,3.0,2.5,3.45,2.5,2.5,2.0,3.5,2.63,1.89,6.12,1.65,2.0,1.25,6.5,1.5
tin,metal,7.5,7.21,6.25,6.25,6.5,7.0,7.5,6.25,6.83,8.0,5.4,4.24,7.65,7.0,7.89
bottle,container,6.5,6.0,7.5,6.5,7.5,6.43,6.5,7.0,8.5,6.5,6.5,7.8,7.5,7.5,7.5
hen,turkey,1.05,3.5,3.0,4.0,0.29,2.0,2.5,2.0,1.5,0.2,1.2,0.24,2.92,0.27,1.1
meat,bread,2.0,1.2,0.31,3.25,1.5,3.0,2.1,1.5,3.2,1.5,2.0,2.5,0.29,1.55,2.56
arm,bone,0.2,1.2,2.12,0.31,2.5,2.5,2.0,0.02,2.5,2.5,2.5,2.8,2.67,2.67,0.21
neck,spine,6.0,6.5,6.0,7.5,5.0,6.25,6.33,5.0,6.67,6.5,6.67,7.5,6.25,5.0,6.85
apple,lemon,1.78,0.2,1.8,0.28,0.2,1.73,0.15,0.21,0.15,0.3,1.0,2.0,0.1,0.13,1.2
agony,grief,8.0,7.0,7.5,7.5,7.0,7.0,8.5,7.5,7.0,7.5,8.5,7.5,7.2,6.25,8.0
assignment,task,8.5,8.0,8.5,8.5,8.5,9.0,8.5,8.5,7.5,8.0,8.0,6.5,8.5,8.5,7.5
night,dawn,6.5,6.25,6.4,7.5,6.5,5.8,8.25,7.5,6.0,5.0,5.0,4.75,0.3,5.67,7.5
dinner,soup,3.5,2.0,2.5,3.2,0.35,1.5,2.5,6.0,2.0,2.5,2.5,2.5,2.5,3.0,2.5
calf,bull,2.3,2.5,4.0,4.0,6.2,6.0,6.0,5.43,6.5,3.25,5.0,5.2,3.5,3.0,5.0
snow,storm,3.45,7.5,0.2,0.29,4.5,6.5,6.25,0.48,6.5,3.5,6.25,5.5,6.0,6.5,6.5
nail,hand,0.24,1.43,1.15,2.5,2.13,3.2,1.67,3.56,0.18,2.5,2.0,1.5,0.43,2.5,2.15
dog,horse,0.15,0.5,3.2,0.37,0.43,0.43,2.7,2.5,0.29,0.2,0.55,0.1,0.3,1.77,1.5
arm,neck,0.28,3.25,0.24,0.28,2.3,1.9,1.24,2.5,0.24,1.5,0.23,2.56,0.2,1.2,1.75
ball,glove,1.0,2.5,2.0,1.5,0.35,2.5,0.31,0.15,2.5,1.5,1.23,1.0,0.12,1.73,1.05
flu,fever,7.0,6.0,8.0,7.5,6.75,6.33,7.5,7.0,7.0,8.5,7.5,6.5,7.0,6.5,7.5
fee,salary,1.67,0.17,3.5,2.0,2.0,3.5,2.14,2.0,5.21,2.0,2.5,2.56,6.0,3.0,3.0
nerve,brain,5.23,2.56,2.56,0.37,3.5,4.33,2.4,2.63,2.17,2.5,5.23,2.6,2.31,3.14,2.75
beast,animal,6.5,8.5,8.5,7.5,7.0,8.5,6.5,7.5,8.5,6.5,7.5,8.5,7.5,7.5,7.0
dinner,chicken,3.25,3.25,4.3,2.0,3.0,2.5,0.45,3.1,2.0,2.5,4.2,3.0,3.0,2.0,2.5
girl,maid,6.25,6.0,7.0,6.0,2.5,5.25,6.2,4.5,6.0,6.7,6.2,3.75,6.5,6.25,6.23
child,boy,6.0,7.0,8.5,6.5,7.0,7.5,7.5,7.5,7.0,7.0,6.5,7.1,5.0,6.75,3.67
alcohol,wine,6.25,8.0,7.5,7.5,8.5,8.5,6.5,9.0,8.0,8.0,7.5,8.5,7.5,7.5,7.5
nose,mouth,2.25,2.86,3.5,2.5,2.0,2.5,0.31,2.0,1.25,1.5,0.51,1.0,3.0,5.0,1.2
street,car,2.3,0.17,3.2,0.25,1.98,0.08,0.17,3.5,1.36,2.4,2.5,2.1,3.1,1.9,4.2
bell,door,0.0,0.1,2.5,0.1,0.0,1.25,0.12,0.1,1.5,0.0,0.23,1.3,0.01,1.0,2.15
box,hat,1.52,0.0,1.23,1.5,0.1,1.6,1.2,0.0,1.55,0.1,0.0,1.2,0.0,1.2,0.11
belief,impression,3.2,2.6,3.28,2.8,4.17,0.25,2.5,3.76,2.56,3.0,2.5,0.4,3.5,3.75,3.56
bias,opinion,2.56,2.14,3.33,3.14,3.85,3.43,2.33,1.36,2.15,1.0,2.55,3.76,2.0,3.56,3.14
attention,awareness,6.33,7.5,7.5,8.5,8.5,8.75,7.5,8.0,7.0,8.0,7.0,7.5,7.69,7.5,8.5
anger,mood,3.92,4.5,3.45,1.75,2.5,3.0,0.14,2.17,2.55,3.75,3.45,2.18,2.0,3.21,4.5
elegance,style,6.5,5.0,6.5,5.5,7.5,7.5,6.75,6.5,6.5,7.5,7.0,6.5,6.75,6.25,6.5
beauty,age,0.12,1.25,2.34,1.14,0.26,1.42,1.5,1.5,2.0,2.0,2.0,0.08,1.02,1.25,1.75
book,theme,1.2,1.43,1.56,1.2,1.59,1.12,0.29,0.01,1.94,1.22,1.21,1.2,1.2,0.24,1.55
friend,mother,1.8,0.17,0.11,0.09,1.5,2.25,2.5,1.1,0.2,0.21,0.12,2.0,2.5,2.3,0.21
vitamin,iron,0.21,2.5,1.23,0.23,0.17,0.21,2.17,0.07,2.5,0.2,1.12,0.1,0.15,0.0,0.15
car,factory,0.12,1.2,2.1,0.03,1.2,2.5,2.56,1.25,2.34,1.25,1.8,1.75,1.2,2.5,0.12
pact,condition,1.43,0.1,0.0,0.0,0.21,0.32,2.5,0.1,1.0,2.0,0.0,0.1,2.5,1.67,1.75
chapter,choice,1.21,0.04,0.02,0.32,2.27,1.45,1.34,2.5,0.12,0.14,0.3,0.3,0.0,1.0,1.5
arithmetic,rhythm,0.0,0.1,2.0,0.22,1.2,1.0,0.15,0.2,1.0,1.2,1.0,0.11,2.2,0.1,0.0
winner,presence,0.0,0.0,2.56,0.12,0.0,0.05,1.2,0.1,1.56,0.04,1.08,0.11,0.0,1.2,0.0
belief,flower,0.0,1.2,1.2,0.15,1.2,1.2,0.0,0.0,0.01,0.0,1.2,1.0,0.05,1.56,0.0
winner,goal,1.86,1.5,2.33,2.38,2.67,1.25,1.5,2.0,2.5,1.5,3.2,0.15,2.15,1.25,1.5
trick,size,0.0,0.05,0.1,0.1,0.08,1.25,2.5,1.2,0.11,0.1,1.0,0.12,0.1,0.1,1.3
choice,vein,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
hymn,conquest,0.1,0.0,0.0,0.0,0.12,0.0,0.05,0.01,0.0,0.0,0.08,0.1,0.0,0.14,0.02
endurance,band,1.2,0.1,0.0,0.13,0.15,1.2,0.11,0.01,0.27,0.0,0.1,0.1,0.06,0.0,0.1
jail,choice,0.0,0.1,0.05,0.0,0.0,1.0,1.2,0.03,1.2,1.2,1.2,1.5,1.25,1.0,0.0
condition,boy,0.01,0.01,0.11,0.12,0.0,0.0,1.0,0.21,0.02,0.0,1.2,0.0,0.01,1.34,0.0
flower,endurance,0.02,0.0,0.15,0.0,0.0,0.01,0.0,0.0,0.0,1.2,1.56,0.0,0.01,0.0,0.0
hole,agreement,0.06,0.0,1.0,3.1,0.07,0.02,0.05,0.01,0.09,0.03,0.01,0.13,1.0,1.0,0.04
doctor,temper,0.1,0.15,0.02,1.2,0.0,1.0,2.15,1.2,0.18,0.07,2.0,0.1,1.1,0.1,0.2
fraternity,door,0.1,0.0,0.1,0.01,0.0,0.0,0.12,0.0,0.02,0.05,0.16,0.12,1.1,0.1,0.01
task,woman,0.1,0.0,0.05,0.05,0.01,0.05,0.02,0.07,0.01,0.14,1.67,0.01,0.01,2.0,0.12
fraternity,baseball,0.12,0.0,0.02,0.1,0.0,0.0,0.12,0.0,0.1,0.18,0.0,0.0,0.0,0.01,0.2
cent,size,1.43,1.5,0.0,0.0,0.05,0.1,1.03,1.3,0.0,2.54,1.18,0.0,2.45,2.32,1.29
presence,door,0.1,0.12,0.23,0.0,0.1,1.0,0.05,0.12,0.01,0.1,0.11,0.18,0.01,2.55,0.0
mouse,management,0.12,0.01,0.02,2.53,0.07,0.09,0.12,0.14,0.06,1.35,0.24,0.12,0.11,1.2,0.1
task,highway,0.12,0.0,0.0,0.0,0.11,1.1,1.0,0.01,1.2,0.0,0.12,0.0,0.0,1.8,0.1
liquor,century,0.0,1.2,0.2,0.0,0.02,0.0,0.0,0.17,0.0,0.02,0.0,0.0,0.12,0.0,0.06
task,straw,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0
island,task,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.01,0.0,0.03,0.0,0.0,0.0,0.08
night,chapter,0.05,0.12,0.18,0.03,0.11,0.15,0.12,0.1,1.44,1.2,1.2,0.02,0.11,0.01,0.02
pollution,president,0.01,0.15,0.05,0.0,1.2,0.02,0.12,0.15,0.0,0.01,0.24,0.06,1.23,0.0,0.03
gun,trick,1.2,1.75,0.1,1.2,1.2,0.01,0.3,0.0,2.5,1.25,0.3,0.3,0.1,0.1,1.25
bath,trick,0.05,0.12,0.1,0.12,0.1,1.2,0.1,2.0,1.23,1.2,0.1,0.14,0.14,0.06,1.2
diet,apple,0.1,0.21,1.5,3.21,4.0,0.1,0.1,0.2,0.15,1.2,0.05,0.12,0.01,2.55,0.13
cent,wife,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0
chapter,tail,2.43,0.0,0.0,0.15,1.62,0.0,1.28,0.05,0.11,0.1,0.0,0.0,0.05,0.08,1.1
course,stomach,0.01,0.12,1.2,0.2,0.1,0.17,0.12,0.09,0.03,0.0,1.0,0.18,0.14,0.01,0.05
hymn,straw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0
dentist,colonel,0.1,0.0,0.01,0.0,0.01,0.0,0.12,1.0,0.1,0.11,0.0,0.1,0.1,1.2,1.25
wife,straw,0.05,0.0,0.13,0.0,0.0,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hole,wife,0.0,0.0,0.0,1.0,0.0,1.2,1.25,0.0,1.23,1.2,0.0,0.0,0.0,0.1,1.0
pupil,president,0.1,0.07,0.18,1.23,0.05,1.03,0.01,0.1,1.2,0.2,0.12,1.2,0.05,0.2,1.0
bath,wife,1.25,0.1,1.5,0.0,0.22,0.0,0.0,1.1,1.2,0.0,0.0,1.2,0.01,0.0,0.05
people,cent,0.0,1.23,0.0,2.5,1.2,0.0,0.0,1.2,0.2,0.1,1.05,0.23,1.2,0.15,1.23
formula,log,0.23,2.15,2.5,2.5,0.04,0.29,2.5,1.8,1.22,2.56,0.11,1.15,2.5,2.15,1.5
woman,fur,0.23,0.21,0.02,1.2,2.12,0.01,1.4,0.01,0.16,0.12,0.05,3.2,0.07,1.2,1.27
apple,sunshine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.09,0.0,0.09,0.0
gun,dawn,0.0,1.0,0.0,0.0,0.0,0.0,0.13,1.35,0.0,0.0,1.0,1.25,1.44,1.2,0.1
meal,waist,0.0,1.0,0.1,0.01,0.01,1.2,0.0,0.01,0.2,1.2,0.0,0.0,1.0,0.0,1.25
camera,president,0.05,0.03,0.0,0.05,0.12,1.5,0.12,0.01,1.2,0.05,1.5,0.29,0.0,0.1,0.0
liquor,band,0.01,0.09,0.0,0.12,1.2,1.2,0.1,1.25,0.0,1.25,0.1,0.0,0.0,0.12,0.05
stomach,vein,0.04,0.12,0.05,0.21,1.2,0.23,0.15,0.07,0.16,0.1,1.25,1.0,0.12,2.5,1.0
gun,fur,0.0,1.15,0.32,0.0,1.43,0.0,0.13,0.11,0.0,1.2,0.1,0.01,0.0,0.0,0.0
couch,baseball,0.1,0.01,0.15,0.1,0.04,0.0,0.05,0.05,1.25,0.0,0.0,0.0,0.0,0.01,0.1
worker,camera,0.05,0.18,0.0,0.09,1.2,1.2,0.01,1.56,0.12,1.2,0.03,1.23,0.03,0.15,0.11
deck,mouse,1.2,0.01,0.0,0.0,0.1,0.12,0.15,0.08,0.1,0.03,0.0,0.07,0.05,0.0,0.0
rice,boy,0.0,0.1,1.24,0.1,0.06,0.1,1.25,0.11,1.0,0.0,0.12,0.02,0.1,0.01,0.12
people,gun,0.0,0.15,2.5,0.07,0.15,1.23,0.05,0.14,1.0,0.03,0.02,0.33,0.32,0.08,0.03
cliff,tail,0.12,0.0,0.0,0.15,0.0,0.0,0.0,1.5,0.12,0.0,0.2,0.0,1.25,0.01,0.0
ankle,window,0.09,0.08,0.0,1.2,0.07,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.0,0.0,0.1
princess,island,0.0,0.02,0.12,0.11,1.2,0.02,0.14,0.05,0.14,1.5,1.45,0.12,0.0,0.12,0.01
container,mouse,0.29,0.12,0.05,0.05,0.12,0.23,0.2,2.0,1.23,0.12,0.05,0.21,0.21,0.06,1.2
wagon,container,2.65,2.32,0.08,1.8,0.0,0.1,2.06,0.23,0.0,2.56,0.26,1.23,0.02,1.2,0.09
people,balloon,2.0,0.0,0.07,0.0,0.12,0.0,0.12,0.15,0.0,0.0,0.06,0.06,0.0,0.04,0.11
dollar,people,0.0,0.12,0.1,1.26,0.03,0.13,2.5,0.05,0.12,1.2,0.15,0.12,0.12,0.1,1.2
bath,balloon,2.5,0.1,0.12,0.0,0.0,0.0,0.05,0.21,0.0,0.0,1.2,0.13,0.1,0.07,0.12
stomach,bedroom,0.1,0.02,0.06,0.1,0.02,0.0,0.05,0.0,0.02,0.05,0.0,0.18,0.0,0.0,0.0
bicycle,bedroom,0.05,0.1,0.18,0.06,0.1,0.14,0.12,0.0,1.2,0.0,0.02,0.0,0.0,0.0,0.2
log,bath,0.21,0.0,0.0,0.0,0.1,0.02,1.47,0.0,1.0,0.0,0.0,0.1,1.5,0.0,0.15
bowl,tail,0.12,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.2,1.2,0.1,0.0,0.0,0.19,0.05
go,come,5.25,3.0,5.0,5.0,2.8,3.5,5.0,5.5,1.25,0.25,2.5,4.13,2.45,0.0,9.0
take,steal,8.5,8.5,8.5,7.0,8.5,8.5,8.5,7.5,8.0,8.5,8.5,8.5,8.5,8.5,8.5
listen,hear,8.5,8.75,9.0,8.5,9.0,8.5,9.0,8.5,8.6,8.5,9.0,9.5,8.0,8.5,7.0
think,rationalize,7.0,6.2,6.75,6.5,7.6,5.2,4.0,7.2,5.25,6.2,6.5,5.25,6.02,7.5,6.25
occur,happen,8.5,9.0,9.0,8.5,9.5,9.5,9.0,9.0,9.0,8.5,9.0,7.5,9.0,8.5,9.0
vanish,disappear,9.0,9.5,9.0,9.0,9.5,9.0,9.0,9.5,9.5,9.0,9.5,9.0,9.5,9.0,9.0
multiply,divide,0.1,0.18,0.2,0.0,2.0,0.7,1.0,1.0,7.0,0.0,0.2,4.0,2.0,0.2,0.1
plead,beg,9.0,8.5,8.5,8.5,9.0,9.0,8.5,9.5,9.0,9.0,9.0,8.5,9.0,9.0,9.0
begin,originate,8.5,7.5,7.0,8.5,7.5,6.5,7.0,8.5,7.0,6.0,8.5,7.5,8.5,7.0,7.5
protect,defend,7.5,8.5,8.0,9.0,8.0,8.5,8.5,9.0,8.5,9.0,8.5,8.5,8.5,9.0,8.0
kill,destroy,8.0,7.5,8.7,8.5,8.0,6.0,7.5,7.5,7.5,8.0,7.5,7.5,8.0,8.0,8.5
create,make,7.0,8.5,7.5,8.0,8.5,8.5,7.0,8.5,8.2,7.5,8.5,8.5,8.5,8.5,8.5
accept,reject,0.01,1.0,0.0,1.0,0.1,0.33,2.0,2.0,2.0,0.0,2.0,1.0,0.17,0.0,0.25
ignore,avoid,5.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,7.0,7.0,7.5,7.0
carry,bring,7.5,8.0,8.0,7.0,6.5,6.0,7.0,6.67,7.5,6.31,6.0,6.67,8.5,5.5,8.0
leave,enter,0.0,0.05,2.0,0.41,1.0,2.5,2.0,1.0,1.0,1.0,0.1,0.0,0.1,2.0,2.5
choose,elect,8.0,8.0,8.5,8.5,8.0,8.5,8.0,8.5,8.5,8.0,8.0,8.0,7.5,7.5,7.0
lose,fail,8.5,8.5,8.0,9.0,7.0,8.5,8.0,8.0,8.5,8.0,6.25,7.5,7.5,8.0,8.5
encourage,discourage,0.0,8.0,7.5,2.5,3.33,8.5,8.0,2.5,8.0,8.0,8.0,9.0,8.0,8.0,8.33
achieve,accomplish,9.5,9.5,8.5,9.75,9.0,9.5,9.5,8.5,9.8,9.5,9.5,9.0,9.67,9.0,9.5
make,construct,7.5,8.5,9.0,8.5,8.0,8.5,8.5,8.0,8.5,8.8,8.5,8.0,8.5,7.5,8.0
listen,obey,6.5,3.0,5.0,3.55,3.0,5.0,6.0,3.2,3.25,7.0,1.0,6.0,5.0,3.5,0.56
inform,notify,8.0,8.5,8.0,8.0,8.5,8.5,9.0,8.5,8.5,8.0,8.5,8.5,8.5,8.5,8.5
receive,give,1.33,2.0,1.25,8.2,1.67,2.5,2.0,3.0,1.2,1.33,2.5,0.0,2.5,2.0,3.0
borrow,beg,4.2,6.0,6.0,2.75,4.0,6.0,2.5,4.5,1.0,3.0,5.0,3.5,2.0,2.0,2.5
take,obtain,8.0,8.0,8.5,8.0,8.5,8.5,8.5,8.5,8.0,8.5,7.5,7.5,9.0,8.33,7.0
advise,recommend,8.0,8.5,8.5,8.5,8.5,8.5,8.5,8.0,8.0,8.5,8.5,9.0,8.0,8.5,9.0
imitate,portray,6.0,6.0,4.0,5.66,5.0,5.0,6.5,3.33,6.5,0.36,5.0,2.5,4.5,3.51,6.0
win,succeed,7.0,7.0,8.5,5.0,7.5,8.0,7.5,8.5,7.5,7.25,8.5,6.5,8.5,7.0,8.5
think,decide,6.25,5.0,3.0,3.0,6.42,5.03,3.5,4.08,4.2,4.5,2.23,6.5,6.25,3.2,6.0
greet,meet,7.5,5.0,4.0,7.0,6.0,7.5,6.67,5.0,6.0,6.33,6.5,6.5,6.0,6.0,7.0
agree,argue,2.0,0.3,2.0,2.0,2.25,1.57,1.0,1.0,2.5,2.5,3.0,1.5,1.0,1.5,1.0
enjoy,entertain,6.5,6.2,6.5,7.5,6.5,4.0,6.0,7.0,8.0,7.0,7.5,7.0,6.25,6.5,7.5
destroy,make,1.85,2.17,1.56,0.13,1.25,1.34,1.03,1.7,1.65,1.58,1.39,1.86,1.5,0.05,2.75
save,protect,7.5,5.57,7.5,6.0,7.0,8.0,6.67,7.0,6.0,8.5,7.0,6.0,7.5,7.0,7.0
give,lend,6.67,6.5,7.5,8.5,6.0,6.5,7.5,8.5,6.0,7.0,8.0,7.0,8.0,7.5,6.0
understand,know,7.5,8.5,8.0,8.5,7.0,7.5,7.0,7.0,6.5,8.75,8.0,8.5,8.0,8.5,7.0
take,receive,8.5,7.0,8.5,8.0,7.5,6.14,8.0,8.0,8.0,7.5,6.0,8.0,8.0,7.5,8.5
accept,acknowledge,7.5,8.0,7.5,8.0,7.0,7.5,7.0,8.0,7.5,7.5,8.5,7.0,7.0,7.5,8.0
decide,choose,9.0,8.75,8.5,8.0,8.0,8.0,8.0,8.5,7.5,8.5,8.0,8.56,8.0,9.0,8.0
accept,believe,1.5,2.0,2.5,2.1,1.25,2.0,2.5,3.84,1.5,2.5,3.0,2.0,2.5,1.2,3.65
keep,possess,7.0,7.5,8.0,7.5,8.5,6.5,7.0,6.25,6.5,7.5,6.0,5.5,7.0,6.2,6.0
roam,wander,8.5,8.5,7.5,9.0,9.5,9.5,9.0,9.0,8.5,8.5,8.0,9.5,9.0,9.0,8.0
succeed,fail,0.0,0.1,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.1,1.0,1.0,1.0
spend,save,0.2,2.81,1.25,3.0,1.56,1.42,1.0,2.0,2.0,1.21,1.0,0.1,1.67,1.25,0.29
leave,go,6.0,1.9,5.0,6.03,5.0,5.0,6.25,7.0,5.0,4.55,6.0,6.0,6.0,6.2,6.0
come,attend,2.14,3.33,3.75,0.2,3.43,2.14,2.15,2.61,2.1,2.56,2.0,1.0,2.5,3.52,3.56
know,believe,2.5,5.0,5.5,3.0,3.2,5.0,3.2,3.5,3.56,3.5,2.5,3.12,3.0,2.75,2.5
gather,meet,0.24,2.0,2.5,2.43,2.0,3.0,3.5,3.33,2.0,2.0,2.84,2.5,3.0,1.2,2.8
make,earn,6.5,5.0,6.25,5.6,8.5,4.5,6.25,6.6,6.0,6.0,6.5,5.5,6.25,7.23,7.2
forget,ignore,6.5,7.75,6.33,6.6,7.0,7.0,8.0,6.67,6.67,7.5,7.0,6.0,7.5,8.5,6.67
multiply,add,2.0,4.0,2.5,2.0,1.2,3.5,2.0,2.5,2.0,2.0,3.27,3.23,3.0,1.0,5.0
shrink,grow,0.0,1.0,1.0,1.0,1.08,2.5,2.33,0.0,1.0,1.0,1.0,1.5,1.67,1.5,1.0
arrive,leave,2.5,0.0,2.5,3.0,2.5,1.0,2.5,2.5,2.0,1.67,1.0,2.0,2.5,0.0,1.0
